id,countryId,countryName,nameEn,nameRu,nameAr
efd68eb5-3c9f-4de9-9512-af8d7c89adbe,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Abu Dhabi","Abu Dhabi","Abu Dhabi"
d0b7e071-1efa-5767-bef8-2be3c71f8e7c,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Al Barsha","Al Barsha","Al Barsha"
53969cd0-230f-5b01-9731-5e7b5964b542,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Arabian Ranches","Arabian Ranches","Arabian Ranches"
4b3be498-fce9-5bb1-b27f-1ed8ac709f62,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Barsha Heights","Barsha Heights","Barsha Heights"
1610050e-153f-534b-b5a2-83bd7979a49e,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Bluewaters","Bluewaters","Bluewaters"
30565275-861d-5d96-936a-4fbb517d4fe3,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","City Walk","City Walk","City Walk"
4af43efa-33e5-5226-bc6d-9866b6b510bb,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","City of Arabia","City of Arabia","City of Arabia"
e68a9dd9-cf5b-55a4-9b81-c342db1273ff,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Damac Hills","Damac Hills","Damac Hills"
deeb6436-e9ee-5075-ad12-687c3666f1dc,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Damac Hills 2","Damac Hills 2","Damac Hills 2"
11ed1849-1e4a-5059-9edd-2edfaee42daf,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Damac Lagoons","Damac Lagoons","Damac Lagoons"
7985e6e2-96ee-5f09-9c44-14d504fd7d8e,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Downtown Dubai","Downtown Dubai","Downtown Dubai"
191ac941-212a-4136-b305-e38d7e55aea5,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Dubai","Дубай","دبي"
ea35a8da-386b-5e8a-b3ea-433b1e910507,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Dubai Creek Harbour","Dubai Creek Harbour","Dubai Creek Harbour"
822bfa07-8a19-5b41-a642-acdfba6e2988,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Dubai Design District","Dubai Design District","Dubai Design District"
2b2672cd-225e-5b98-bafb-14ad5a99f861,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Dubai Harbour","Dubai Harbour","Dubai Harbour"
f6b61068-32fa-521b-ad1e-79a9be3b504d,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Dubai Healthcare City Phase 2","Dubai Healthcare City Phase 2","Dubai Healthcare City Phase 2"
4cb7c7cf-341a-5603-86b5-3cd4b53a999c,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Dubai Hills","Dubai Hills","Dubai Hills"
6790e06b-ad65-56fd-aee6-795c5d890e4e,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Dubai Industrial City","Dubai Industrial City","Dubai Industrial City"
